страна,год,пол,возраст,количество_самоубийств,население,самоубийства_на_100к_человек,ИЧР_за_год,ВВП_за_год,ВВП_на_душу_населения,индекс_безработицы,регион
Албания,1987,мужской,15-24 лет,21,312900,6.71,0.673,2156624900.0,796,5.2,Европа
Албания,1987,мужской,35-54 лет,16,308000,5.19,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,15-24 лет,14,289700,4.83,0.673,2156624900.0,796,5.2,Европа
Албания,1987,мужской,75+ лет,1,21800,4.59,0.673,2156624900.0,796,5.2,Европа
Албания,1987,мужской,25-34 лет,9,274300,3.28,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,75+ лет,1,35600,2.81,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,35-54 лет,6,278800,2.15,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,25-34 лет,4,257200,1.56,0.673,2156624900.0,796,5.2,Европа
Албания,1987,мужской,55-74 лет,1,137500,0.73,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,5-14 лет,0,311000,0.0,0.673,2156624900.0,796,5.2,Европа
Албания,1987,женский,55-74 лет,0,144600,0.0,0.673,2156624900.0,796,5.2,Европа
Албания,1987,мужской,5-14 лет,0,338200,0.0,0.673,2156624900.0,796,5.2,Европа
Албания,1988,женский,75+ лет,2,36400,5.49,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,15-24 лет,17,319200,5.33,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,75+ лет,1,22300,4.48,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,35-54 лет,14,314100,4.46,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,55-74 лет,4,140200,2.85,0.673,2126000000.0,769,6.0,Европа
Албания,1988,женский,15-24 лет,8,295600,2.71,0.673,2126000000.0,769,6.0,Европа
Албания,1988,женский,55-74 лет,3,147500,2.03,0.673,2126000000.0,769,6.0,Европа
Албания,1988,женский,25-34 лет,5,262400,1.91,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,25-34 лет,5,279900,1.79,0.673,2126000000.0,769,6.0,Европа
Албания,1988,женский,35-54 лет,4,284500,1.41,0.673,2126000000.0,769,6.0,Европа
Албания,1988,женский,5-14 лет,0,317200,0.0,0.673,2126000000.0,769,6.0,Европа
Албания,1988,мужской,5-14 лет,0,345000,0.0,0.673,2126000000.0,769,6.0,Европа
Албания,1989,мужской,75+ лет,2,22500,8.89,0.673,2335124988.0,833,6.7,Европа
