страна,количество_самоубийства
Австралия,3027
Австрия,1251
Аргентина,3073
Армения,74
Белиз,26
Бельгия,1867
Бразилия,11163
Великобритания,4910
Венгрия,1868
Германия,10088
Греция,529
Грузия,192
Дания,564
Израиль,342
Исландия,40
Испания,3604
Италия,3988
Казахстан,2872
Кипр,40
Киргизия,417
Колумбия,2332
Латвия,387
Литва,896
Люксембург,64
Маврикий,104
Мальта,34
Мексика,6234
Нидерланды,1873
Никарагуа,315
Норвегия,590
Панама,110
Польша,5420
Пуэрто-Рико,226
Республика Корея,13510
Россия,25432
Румыния,2228
США,44189
Сейшелы,7
Сербия,1062
Сингапур,329
Словения,422
Турция,1532
Украина,7574
Уругвай,630
Финляндия,731
Хорватия,739
Чехия,1387
Чили,1838
Швейцария,1073
Швеция,1182
Эквадор,1073
Эстония,195
Южная Африка,482
Япония,23092
