,страна,прогноз_количество_суицидов
0,Австралия,2927.389108965931
1,Австрия,2701.4740302811515
2,Аргентина,3114.6216988503556
3,Армения,120.06341396351456
4,Белиз,24.861775879731326
5,Бельгия,1898.6752652529897
6,Бразилия,10797.728390088007
7,Великобритания,4809.777438956497
8,Венгрия,3883.2627401432223
9,Германия,10142.960325900212
10,Греция,555.2165767280507
11,Грузия,194.67921186542512
12,Дания,589.1566430487433
13,Израиль,389.3255923971751
14,Исландия,90.398234658011
15,Испания,3923.335389088801
16,Италия,4203.367956933048
17,Казахстан,3280.772023460202
18,Кипр,77.96753740281194
19,Киргизия,468.62461605473754
20,Колумбия,2091.1200521796063
21,Латвия,379.74844098067814
22,Литва,1832.8362004978978
23,Люксембург,63.87884740678787
24,Маврикий,229.2648238051194
25,Мальта,31.373861945531964
26,Мексика,6286.305911474288
27,Нидерланды,3704.0407190134074
28,Никарагуа,318.1133809402859
29,Норвегия,532.2997568894672
30,Панама,150.69150239663958
31,Польша,5951.472447424613
32,Пуэрто-Рико,223.534588493931
33,Республика Корея,14080.276074294521
34,Россия,27076.720306987187
35,Румыния,4400.597230186122
36,США,43187.58508762309
37,Сейшелы,10.17914757293284
38,Сербия,1112.3439025671619
39,Сингапур,353.0397653412655
40,Словения,403.17914152116657
41,Турция,1652.9294017514771
42,Украина,7997.681167804632
43,Уругвай,563.4255759568393
44,Финляндия,787.6198564434671
45,Хорватия,1442.1765730403954
46,Чехия,3008.730038269706
47,Чили,1780.615028681078
48,Швейцария,1055.38678310076
49,Швеция,2279.462028999334
50,Эквадор,723.4726485157335
51,Эстония,242.4938794035887
52,Южная Африка,510.1159063844436
53,Япония,24447.94821002288
