страна,год,пол,возраст,количество_самоубийства,население,самоубийства_на_100к_человек,страна-год,ИЧР_за_год,ввп_за_год ($) ,ввп_на_душу_населения ($),поколение
Албания,1987,мужской,15-24 лет,21,312900,6.71,Албания1987,,"2,156,624,900",796,Поколение X
Албания,1987,мужской,35-54 лет,16,308000,5.19,Албания1987,,"2,156,624,900",796,Молчаливое поколение
Албания,1987,женский,15-24 лет,14,289700,4.83,Албания1987,,"2,156,624,900",796,Поколение X
Албания,1987,мужской,75+ лет,1,21800,4.59,Албания1987,,"2,156,624,900",796,Поколение G.I.
Албания,1987,мужской,25-34 лет,9,274300,3.28,Албания1987,,"2,156,624,900",796,Бумеры
Албания,1987,женский,75+ лет,1,35600,2.81,Албания1987,,"2,156,624,900",796,Поколение G.I.
Албания,1987,женский,35-54 лет,6,278800,2.15,Албания1987,,"2,156,624,900",796,Молчаливое поколение
Албания,1987,женский,25-34 лет,4,257200,1.56,Албания1987,,"2,156,624,900",796,Бумеры
Албания,1987,мужской,55-74 лет,1,137500,0.73,Албания1987,,"2,156,624,900",796,Поколение G.I.
Албания,1987,женский,5-14 лет,0,311000,0.0,Албания1987,,"2,156,624,900",796,Поколение X
Албания,1987,женский,55-74 лет,0,144600,0.0,Албания1987,,"2,156,624,900",796,Поколение G.I.
Албания,1987,мужской,5-14 лет,0,338200,0.0,Албания1987,,"2,156,624,900",796,Поколение X
Албания,1988,женский,75+ лет,2,36400,5.49,Албания1988,,"2,126,000,000",769,Поколение G.I.
Албания,1988,мужской,15-24 лет,17,319200,5.33,Албания1988,,"2,126,000,000",769,Поколение X
Албания,1988,мужской,75+ лет,1,22300,4.48,Албания1988,,"2,126,000,000",769,Поколение G.I.
Албания,1988,мужской,35-54 лет,14,314100,4.46,Албания1988,,"2,126,000,000",769,Молчаливое поколение
Албания,1988,мужской,55-74 лет,4,140200,2.85,Албания1988,,"2,126,000,000",769,Поколение G.I.
Албания,1988,женский,15-24 лет,8,295600,2.71,Албания1988,,"2,126,000,000",769,Поколение X
Албания,1988,женский,55-74 лет,3,147500,2.03,Албания1988,,"2,126,000,000",769,Поколение G.I.
Албания,1988,женский,25-34 лет,5,262400,1.91,Албания1988,,"2,126,000,000",769,Бумеры
Албания,1988,мужской,25-34 лет,5,279900,1.79,Албания1988,,"2,126,000,000",769,Бумеры
